artist_id,artist_name,type
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,artist
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,artist
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,artist
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,artist
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,artist
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,artist
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,artist
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,artist
4q3ewBCX7sLwd24euuV69X,Bad Bunny,artist
0EFisYRi20PTADoJrifHrz,Jhay Cortez,artist
6LuN9FCkKOj5PcnpouEgny,Khalid,artist
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,artist
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,artist
4r63FhuTkUYltbVAg5TQnk,DaBaby,artist
7iK8PXO48WeuP03g8YR51W,Myke Towers,artist
2LmcxBak1alK1bf7d1beTr,Juhn,artist
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,artist
6ASri4ePR7RlsvIQgWPJpS,iann dior,artist
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,artist
4IVAbR2w4JJNJDDRFP3E83,6LACK,artist
4kYSro6naA4h99UJvo89HB,Cardi B,artist
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,artist
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,artist
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,artist
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,artist
4riOEaOW5hCeqomFDBk0aP,Rochy RD,artist
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,artist
3TVXtAsR1Inumwj472S9r4,Drake,artist
3eVa5w3URK5duf6eyVDbu9,ROSÉ,artist
7i9j813KFoSBMldGqlh2Z1,Riton,artist
1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,artist
4L2dV3zY7RmkeiNO035Fi0,Mufasa & Hypeman,artist
3Edve4VIATi0OZngclQlkN,Dopamine,artist
5CiGnKThu5ctn9pBxv7DGa,benny blanco,artist
6KImCVD70vtIoJWnq6nGn3,Harry Styles,artist
3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist
790FomKkXshlbRYZFtlgla,KAROL G,artist
3klZnJvYGIbWritVwQD434,Duncan Laurence,artist
7tYKF4w9nC0nq9CsPZTHyP,SZA,artist
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,artist
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,artist
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,artist
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,artist
1PKErrAhYFdfrDymGHRQRo,Nathan Evans,artist
4Euia7UzdRshy1DJOSMTcs,220 KID,artist
5PoZtBo8xZKqPWlZrIDq82,Billen Ted,artist
7arQA31aZVS8yS6zUveWzb,CJ,artist
2NfSBtmWe7oPw1EmetJVso,Boza,artist
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,artist
0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,artist
3E6xrwgnVfYCrCs0ePERDz,Wisin,artist
7jZM5w05mGhw6wTB1okhD9,ATB,artist
0u6GtibW46tFX7koQ6uNJZ,Topic,artist
5Wg2b4Mp42gicxEeDNawf7,A7S,artist
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,artist
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,artist
2o08sCWF5yyo2G4DCiT7T9,HVME,artist
716NhGYqD1jl2wI1Qkgq36,Bizarrap,artist
4YYxffPVDFe9XoqqbRW6Bq,L-Gante,artist
3Apb2lGmGJaBmr0TTBJvIZ,Rusherking,artist
4m6ubhNsdwF4psNf3R8kwR,KHEA,artist
1bAftSH8umNcGZ0uyV7LMg,Duki,artist
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,artist
1vqR17Iv8VFdzure1TAXEq,Lit Killah,artist
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,artist
1Z7q2glJYLsPpPoPIgBjdE,Papu DJ,artist
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,artist
48R2gYdPKtfnfKAzhSVPUx,Migrantes,artist
2u33e5jDELbQShERkYzBR6,Alico,artist
1M1s4ofh9rBEBWhyYsXAcn,El Mas Ladron,artist
