id,name,duration,album_id
4iJyoBOLtHqaGxP12qzhQI,Peaches,198081,5dGWwsZ9iB2Xc3UKR0gif2
7lPN2DXiMsVn7XUKtOW1CS,drivers license,242013,66FPnVL9G4CMKy3wvaGTcr
1nahzW3kfMuwReTka28tH5,Hold On,170813,5dGWwsZ9iB2Xc3UKR0gif2
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,132780,57UjGWNfxfsBCykDm73XBK
6tDDoYIxWvMLTdKpjFkc1B,telepatía,160191,00wSTrFxoSzA7eeS1UxHgd
5QO79kh1waicV47BqGRL3g,Save Your Tears,215626,4yP0hdKOZPNshxUOjY0cZj
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,242096,7dfPqXck6BB9wpThrVYBss
6F2r4HgpJnvKDmkN6JEN6J,As I Am,174406,5dGWwsZ9iB2Xc3UKR0gif2
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,4yP0hdKOZPNshxUOjY0cZj
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,205090,2d9BCZeAAhiZWPpbX9aPCW
6f3Slt0GbA2bPZlz0aIFXN,The Business,164000,2adSO4KU3FDjeM1PXCRDZm
2WnAKZefdRHxtBEkRjFOHC,Anyone,190779,5dGWwsZ9iB2Xc3UKR0gif2
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,198370,1zHR48K6XtWYm6bhrw4J6C
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),203064,5lKlFlReHOLShQKyRv6AL9
1xK1Gg9SxG8fy2Ya373oqb,Bandido,232853,5sIyJyOgwEIOgBhLxIGG3t
1M4OcYkxAtu3ErzSgDEfoi,Up,156944,0Fe4Uj7GkgA1uDGGk8s92C
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),140525,4YMnOf4a7obOcN1Gy2QEuM
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,205458,1QhKOq11hGEoNA42rV2IHp
6Xgq7MvZiet0hVi3KaDSgJ,Holy,212093,5dGWwsZ9iB2Xc3UKR0gif2
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,161384,3YjfdLdpQcVI72uKhooZst
60ynsPSSKe6O3sfwRnIBRf,Streets,226986,1MmVkhiwTH0BkNOU3nw5d3
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153,39qsmsNRXjVaFqTZj9af0j
3aQem4jVGdhtg116TmJnHz,What’s Next,178153,5LuoozUhs2pl3glZeAJl89
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,203200,2d9BCZeAAhiZWPpbX9aPCW
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,218106,5Jk2ROWL8a4RxmFNiT8pvA
137mSruegm1u6x9NvwiagR,Unstable,158324,5dGWwsZ9iB2Xc3UKR0gif2
3S8jK1mGzQi24ilFb45DAZ,Lonely,149189,5dGWwsZ9iB2Xc3UKR0gif2
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,174000,7xV2TzoaVc0ycW7fwBwAml
2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,168085,5BQcoDfcZ8aBcikYX9B7Ob
3T03rPwlL8NVk1yIaxeD8U,Off My Face,156467,5dGWwsZ9iB2Xc3UKR0gif2
0oaY19dUwZimIgzn3ZZLZO,2 Much,152796,5dGWwsZ9iB2Xc3UKR0gif2
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,116750,1zEBi4O4AaY5M55dUcUp3z
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,178946,6LO6I2uJMkc0u7GHBYHa4Y
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),186087,2jGa3OwXatFYQAIS7OV7k9
4saklk6nie3yiGePpBwUoc,Dynamite,199053,2qehskW9lYGWfYb0xPZkrS
5NU40QTlXrDUJzDBdv79bg,Deserve You,187238,5dGWwsZ9iB2Xc3UKR0gif2
1diS6nkxMQc3wwC4G1j0bh,We're Good,165506,0JeyP8r2hBxYIoxXv11XiX
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),150052,7F9yYqHRtIZnEGF2tANI4b
1t9WgS8FN0534tLBRwbaxO,Whoopty,123262,0kHRftVXaiRHgQdtviml0G
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,279204,781cKhbTPwLnPmo9BALQl7
35mvY5S1H3J2QZyna3TFe0,positions,172324,3euz4vS7ezKGnNSwgyvKcd
1J14CdDAvBTE1AJYUOwl6C,Arcade,185146,4fEgAL4ge9hHhxVDCUZbeF
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,183290,7fJJK56U9fHixgO0HQkhtI
2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,140942,40T4QuY2o5FmisyJf3AlEf
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,186133,1dzGsItgF4Gp1G4TNsdoXU
6I3mqTwhRpn34SLVafSH7G,Ghost,153190,5dGWwsZ9iB2Xc3UKR0gif2
27UcQ6dAvQrgH9C880rCM3,Love You Different,186695,5dGWwsZ9iB2Xc3UKR0gif2
7aely3H8kMj9o0gt6vXHE1,Die For You,198425,5dGWwsZ9iB2Xc3UKR0gif2
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,162802,3SdFuYwyWoq7kuaHdTDcyD
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,182160,5658aM19fA3JVwTK6eQX70
1Crj1zkRMpsEjb9NOR6Zof,"L-Gante: Bzrp Music Sessions, Vol.38",192347,6ScNKLKYY6rpgCIJThLnMH
7I8L3vYCLThw2FDrE6LuzE,Además de Mí - Remix,330040,38DYAL9bTbpSQpZwENwj78
6EHrppRT1Uj4cyShAujxFu,L-Gante Rkt,182052,5GTDPMYQ2mqLwJLlS6iRub
3OXxCquI8i14EigwILaLx9,Animal,203687,1R35ZqQyMMDZA8q4oMfVAJ
4fipVdNyG6zx7nxuqHScsy,Acaramelao,185257,4nUKyiRK7yKKrR9JslEWzR
3lCbsHaN1wCxyDzcNN2x4N,Si Me Tomo Una Cerveza,182198,5TXzXK8XclNSvQccVUiCf2
2OEVXCvrzJfpZaIPwsR99i,Pistola,157369,2b9q2TCzRLoVOi3BCilmFS
4loQgPwJHocL3dFwLfjb1J,Reloj,231594,3fq06DDIkadDRB9RuBb22v
5uD4fcXch2qE5LYeyDipA1,Bésame,142410,2gdXeh9icSTRQp71pxmTP6
2TksvaRivgAEj780DgRB73,911,215891,4G5Vks8Uru6hWVdZba0fP1
3Zf4GutWZ7Hv3wsVQsSQPs,BEBÉ,197284,1PuH88Md0tzB8UrnBfboJA
7ndTONDDRFGiPnnhOzOXxq,La Nota,216107,61qU7ompl7BKKGEgsbO4Ly
78SeXVRJ7KCqVmOwTiFjnI,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215,3aZthZKHMbbleXcilISjha
21N4Buj4xsyLb218lYle61,Chica Ideal,183240,7aS92ROK5rixV65VSRGPct
2mMZAd3ol9wGI2WJl4XJCF,Verte,157418,3NXbwVxHga0cmLdnRIDX64
1jtkP2Vj67mcBTXJgIOZsW,Confiesalo,197112,3CHsVnC1c174aoAlDTyIUN
1VYaM9VSix6jth7nXiHvo2,Chico Estrella,170309,05XZWDj3tPhgwD3zQw43X7
4C6BlqqMwjFzOXzqpTeoWR,Ponte Pa' Mi,202373,3Nle45IcWgxIkXQw8EtYq1
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,230693,69iuPQsXel3luOSDNF0q2Q
2zY1iTaEgs8ROkkWtWLe7l,Ropa Cara,162229,1PuH88Md0tzB8UrnBfboJA
6RV9pRLIQiXm3qTGeyQluf,Machu Picchu,179004,1PuH88Md0tzB8UrnBfboJA
68mrW6gXHgupgSiDHgaDi5,Polvo,211130,3xhACmNvvaKmvdslE1bevB
5MOF8J0yJVHdKE3gRgpM6r,Te Mentiria,186382,5ZhZaBJaiJPoPre9hzZ75K
1yoMvmasuxZfqHEipJhRbp,Hawái,199112,0p2yf6DucEgvj8Uk8KXJJv
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,289933,77aeZo4yYPoMsnnRtPPpuk
4RJz8NfIe09gpKMiRUWKhJ,Parce (feat. Justin Quiles),248345,0p2yf6DucEgvj8Uk8KXJJv
6NKrW1a2OYNwAXuN4MgwXi,Malianteo 420,195529,7xdPNbwpkvpVSllF4CRcyT
2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,213313,5F7rUv9XZPAnNfeKCYkqZS
4nTduFjaTmGysc9WKNuCcs,Vida de Rico,184721,1PuH88Md0tzB8UrnBfboJA
2I3qA0KslRCxFTfZnPyDhf,Barrio Prendido,240008,1y2ar7cUSgVihUHXeCI21J
0K3dGPXHVALEqW8EEQGc3T,DELITO,203136,0HvKhpJzjmC5wloza8MjXF
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,130013,2d9BCZeAAhiZWPpbX9aPCW
1yc7ERfIzFxPP1E0OFRvp0,Tan Enamorados,176298,3gLXoSKX6H6l1ulUYZTYvz
0JAZWvvqttGFm4UMDsPQXC,Despeinada,224186,69iuPQsXel3luOSDNF0q2Q
15OjBeqNX3bShsGYQbteRv,La Tóxica,180520,1R0ocprmeDu8ZkZn29xYFx
7onMf0QvWgRba2MRxG27yj,El Mismo Aire,209414,6LXcy5pa27VqUaqLmM6AH6
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,247308,2O985DZAb4i6M6iu4HWqSX
3dEtfTtCXWW7N8WQ9FD29z,En Tu Cuerpo - Remix,310860,4IoXqa2p31wSTnOIYppcG3
2dl5K2ScW7jYhAhuem06cm,PROBLEMA,184506,62qqk2oK0GGO0AwWqUIqrJ
22Sh5dlwbERqJAq1fZk5b2,De Cora <3,190100,3fq06DDIkadDRB9RuBb22v
23UX82uDIfCUUneRfzDTD5,Titubeo,205434,4H46spr32Tv2VZeo27SvJx
7Bk0uXKk1uPT0XuQbpFzvs,Fiel,261665,7g5WqPI4CdA22Cy8LxRXCf
02MWAaffLxlfxAUY7c5dvx,Heat Waves,238805,0KTj6k94XZh0c6IEMfxeWV
6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,141050,7p0HJKqXo2WpApHFp1iDcI
2gqWRRCXnma9L8xQ1RdemQ,SO DONE,126521,3jDDMndpwWL3yDcDQcxk7R
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),166028,5glfCPECXSHzidU6exW8wO
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),187541,2ogiazbrNEx0kQHGl5ZBTQ
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,174760,26c7MmQ4w8EAvVLb4jilaM
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),167903,15sy3XQFShOFiDpKoxByyA
5ri4zqtWhG07hIuNNDWP76,Fly Away,178156,7jRjPcWQMYGtD6gPBDZiAq
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,257800,0BwWUstDMUbgq2NYONRqlu
